,Round,Pick,Team,Player,Position,Age,School,Year_x,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,PK1,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD,Year_y,AdjustedYds,YPG,Last_Year,Conf,year_drafted,response
286,3,91,NWE,Jacoby Brissett,QB,23.0,North Carolina St.,2016,231.0,4.94,31.0,7.17,4.53,76.0,jacoby brissett+2016,jacoby brissett+North Carolina State,26.0,458.0,765.0,119.7,5268.0,6.886274509803922,7.390196078431373,43.0,11.0,267.0,263.0,899.0,7.0,9.0,4029.0,5653.5,202.6153846153846,2015.0,ACC,2016,
287,3,93,CLE,Cody Kessler,QB,23.0,USC,2016,220.0,4.89,29.5,7.32,4.0,73.0,cody kessler+2016,cody kessler+USC,41.0,849.0,1259.0,201.9,10330.0,8.204924543288325,8.930818109610803,88.0,19.0,467.59999999999997,158.0,-425.0,-8.2,7.0,6042.0,11243.9,251.9512195121951,2015.0,Pac-12,2016,3.0
288,4,100,OAK,Connor Cook,QB,23.0,Michigan St.,2016,217.0,4.79,33.0,7.21,4.28,76.0,connor cook+2016,connor cook+Michigan State,40.0,664.0,1153.0,172.9,9100.0,7.8924544666088465,8.284735472679964,70.0,21.0,421.5,172.0,212.0,3.8000000000000003,3.0,6042.0,9552.3,227.5,2015.0,Big Ten,2016,
289,4,135,DAL,Dak Prescott,QB,23.0,Mississippi St.,2016,226.0,4.79,32.5,7.11,4.32,74.0,dak prescott+2016,dak prescott+Mississippi State,37.0,716.0,1140.0,186.20000000000002,9182.0,8.054385964912282,8.289736842105263,66.0,23.0,429.29999999999995,504.0,2403.0,14.600000000000001,37.0,6042.0,9450.3,248.16216216216216,2015.0,SEC,2016,1.0
290,4,139,BUF,Cardale Jones,QB,23.0,Ohio St.,2016,253.0,4.81,36.0,,,77.0,cardale jones+2016,,,,,,,,,,,,,,,,,,,,,,
291,5,162,KAN,Kevin Hogan,QB,23.0,Stanford,2016,218.0,4.78,32.5,6.9,4.31,75.0,kevin hogan+2016,kevin hogan+Stanford,41.0,618.0,951.0,194.7,8289.0,8.71608832807571,8.85646687697161,66.0,26.0,468.3,260.0,986.0,11.4,13.0,6042.0,8422.5,202.17073170731706,2015.0,Pac-12,2016,3.0
292,6,187,WAS,Nate Sudfeld,QB,22.0,Indiana,2016,234.0,5.02,29.0,,,78.0,nate sudfeld+2016,nate sudfeld+Indiana,24.0,441.0,734.0,120.2,6096.0,8.30517711171662,8.629700272479564,48.0,16.0,293.0,84.0,27.0,0.4,6.0,4028.0,6334.2,254.0,2015.0,Big Ten,2016,
293,6,191,DET,Jake Rudock,QB,23.0,Michigan,2016,,,,,,,jake rudock+2016,jake rudock+Michigan,13.0,249.0,389.0,64.0,3017.0,7.755784061696658,7.7,20.0,9.0,141.5,58.0,166.0,2.9,4.0,2015.0,2995.3,232.07692307692307,2015.0,Big Ten,2016,
294,6,201,JAX,Brandon Allen,QB,24.0,Arkansas,2016,217.0,4.84,28.0,7.06,4.33,73.0,brandon allen+2016,brandon allen+Arkansas,37.0,562.0,967.0,171.5,7277.0,7.525336091003102,7.761220268872802,63.0,23.0,404.7,126.0,139.0,3.0,4.0,6042.0,7505.099999999999,196.67567567567568,2015.0,SEC,2016,
295,6,207,SFO,Jeff Driskel,QB,23.0,Louisiana Tech,2016,234.0,4.56,32.0,7.19,4.25,76.0,jeff driskel+2016,jeff driskel+Louisiana Tech,13.0,279.0,448.0,62.3,4026.0,8.986607142857142,9.4,27.0,8.0,154.1,92.0,323.0,3.5,5.0,2015.0,4211.2,309.6923076923077,2015.0,CUSA,2016,
296,7,223,MIA,Brandon Doughty,QB,24.0,Western Kentucky,2016,213.0,5.22,27.0,7.49,4.52,75.0,brandon doughty+2016,brandon doughty+Western Kentucky,39.0,1009.0,1466.0,205.60000000000002,12742.0,8.691678035470668,9.1924965893588,111.0,33.0,478.40000000000003,100.0,-283.0,-9.0,3.0,6042.0,13476.2,326.71794871794873,2015.0,CUSA,2016,
297,1,2,CHI,Mitchell Trubisky,QB,23.0,North Carolina,2017,222.0,4.67,27.5,6.87,4.25,74.0,mitchell trubisky+2017,,,,,,,,,,,,,,,,,,,,,,2.0
298,1,10,KAN,Patrick Mahomes,QB,21.0,Texas Tech,2017,225.0,4.8,30.0,6.88,4.08,74.0,patrick mahomes+2017,patrick mahomes+Texas Tech,25.0,752.0,1164.0,129.2,9705.0,8.337628865979381,8.707731958762887,77.0,25.0,304.2,262.0,741.0,5.7,22.0,4031.0,10135.8,388.2,2016.0,Big 12,2017,
299,1,12,HOU,Deshaun Watson,QB,21.0,Clemson,2017,221.0,4.66,32.5,6.95,4.31,74.0,deshaun watson+2017,deshaun watson+Clemson,30.0,721.0,1070.0,134.8,8702.0,8.132710280373832,8.275327102803738,76.0,30.0,307.4,372.0,1734.0,9.1,21.0,4031.0,8854.599999999999,290.06666666666666,2016.0,ACC,2017,1.0
300,2,52,CLE,DeShone Kizer,QB,21.0,Notre Dame,2017,233.0,4.83,30.5,7.4,4.53,76.0,deshone kizer+2017,deshone kizer+Notre Dame,25.0,422.0,695.0,121.6,5805.0,8.352517985611511,8.448057553956835,47.0,19.0,295.7,264.0,997.0,7.6,18.0,4031.0,5871.4,232.2,2016.0,Ind,2017,3.0
301,3,87,NYG,Davis Webb,QB,22.0,California,2017,229.0,4.79,33.0,6.92,4.21,77.0,davis webb+2017,davis webb+California,12.0,382.0,620.0,61.6,4295.0,6.92741935483871,7.3,37.0,12.0,135.6,33.0,-110.0,-3.3,6.0,2016.0,4526.0,357.9166666666667,2016.0,Pac-12,2017,
302,3,104,SFO,C.J. Beathard,QB,23.0,Iowa,2017,219.0,,31.0,,,74.0,c.j. beathard+2017,c.j. beathard+Iowa,27.0,393.0,663.0,118.1,4738.0,7.146304675716441,7.146606334841628,34.0,15.0,261.8,183.0,224.0,2.1999999999999997,8.0,4031.0,4738.2,175.4814814814815,2016.0,Big Ten,2017,3.0
303,4,135,PIT,Joshua Dobbs,QB,22.0,Tennessee,2017,216.0,4.64,33.0,6.75,4.31,75.0,joshua dobbs+2017,joshua dobbs+Tennessee,26.0,430.0,701.0,122.6,5237.0,7.470756062767475,7.612981455064195,42.0,17.0,277.6,296.0,1502.0,10.1,23.0,4031.0,5336.700000000001,201.42307692307693,2016.0,SEC,2017,
304,5,171,BUF,Nathan Peterman,QB,23.0,Pittsburgh,2017,226.0,4.82,31.0,7.14,4.31,74.0,nathan peterman+2017,nathan peterman+Pitt,26.0,378.0,619.0,122.2,5142.0,8.306946688206786,8.734733441033926,47.0,15.0,302.4,157.0,518.0,6.7,4.0,4031.0,5406.8,197.76923076923077,2016.0,ACC,2017,4.0
305,6,215,DET,Brad Kaaya,QB,22.0,Miami (FL),2017,214.0,,,,,76.0,brad kaaya+2017,brad kaaya+Miami (FL),38.0,720.0,1188.0,181.7,9968.0,8.390572390572391,8.642676767676768,69.0,24.0,438.29999999999995,94.0,-386.0,-12.600000000000001,4.0,6045.0,10267.5,262.3157894736842,2016.0,ACC,2017,
306,7,253,DEN,Chad Kelly,QB,23.0,Mississippi,2017,,,,,,,chad kelly+2017,chad kelly+Ole Miss,22.0,503.0,786.0,127.6,6800.0,8.651399491094148,8.733078880407126,50.0,21.0,303.3,187.0,841.0,8.899999999999999,15.0,4031.0,6864.200000000001,309.09090909090907,2016.0,SEC,2017,
307,1,1,CLE,Baker Mayfield,QB,23.0,Oklahoma,2018,215.0,4.84,29.0,7.0,4.28,73.0,baker mayfield+2018,baker mayfield+Oklahoma,40.0,808.0,1157.0,209.5,12292.0,10.624027657735523,11.86084701815039,119.0,21.0,568.6,316.0,893.0,8.4,18.0,6048.0,13723.0,307.3,2017.0,Big 12,2018,2.0
308,1,3,NYJ,Sam Darnold,QB,21.0,USC,2018,221.0,4.85,26.5,6.96,4.4,75.0,sam darnold+2018,sam darnold+USC,27.0,549.0,846.0,130.3,7229.0,8.544917257683215,8.71631205673759,57.0,22.0,309.2,137.0,332.0,5.1,7.0,4033.0,7374.0,267.74074074074076,2017.0,Pac-12,2018,2.0
309,1,7,BUF,Josh Allen,QB,22.0,Wyoming,2018,237.0,4.75,33.5,6.9,4.4,77.0,josh allen+2018,josh allen+Wyoming,25.0,361.0,643.0,112.3,5015.0,7.7993779160186625,7.71213063763608,44.0,21.0,272.7,234.0,727.0,5.9,12.0,4033.0,4958.9,200.6,2017.0,MWC,2018,1.0
310,1,10,ARI,Josh Rosen,QB,21.0,UCLA,2018,226.0,4.92,31.0,7.09,4.28,76.0,josh rosen+2018,josh rosen+UCLA,24.0,575.0,939.0,122.6,7425.0,7.907348242811501,7.98136315228967,49.0,21.0,281.3,87.0,-82.0,-1.5,4.0,4032.0,7494.5,309.375,2017.0,Pac-12,2018,3.0
311,1,32,BAL,Lamar Jackson,QB,21.0,Louisville,2018,216.0,,,,,74.0,lamar jackson+2018,lamar jackson+Louisville,38.0,619.0,1086.0,170.0,9043.0,8.326887661141805,8.463996316758747,69.0,27.0,422.2,655.0,4132.0,18.8,50.0,6048.0,9191.9,237.97368421052633,2017.0,ACC,2018,1.0
312,3,76,PIT,Mason Rudolph,QB,23.0,Oklahoma St.,2018,235.0,4.9,26.0,,,77.0,mason rudolph+2018,mason rudolph+Oklahoma State,39.0,866.0,1361.0,190.7,12765.0,9.3791329904482,9.908817046289492,86.0,22.0,478.6,211.0,61.0,0.7999999999999998,17.0,6048.0,13485.9,327.3076923076923,2017.0,Big 12,2018,
313,4,108,NYG,Kyle Lauletta,QB,23.0,Richmond,2018,222.0,4.81,31.0,6.95,4.07,75.0,kyle lauletta+2018,,,,,,,,,,,,,,,,,,,,,,
314,5,171,DAL,Mike White,QB,23.0,Western Kentucky,2018,224.0,5.09,27.0,7.4,4.4,77.0,mike white+2018,mike white+Western Kentucky,27.0,648.0,976.0,133.0,8540.0,8.75,9.319672131147541,63.0,15.0,322.20000000000005,93.0,-342.0,-6.800000000000001,6.0,4033.0,9096.0,316.2962962962963,2017.0,CUSA,2018,
315,6,199,TEN,Luke Falk,QB,23.0,Washington St.,2018,215.0,,26.5,,,76.0,luke falk+2018,luke falk+Washington State,37.0,1247.0,1811.0,206.3,12622.0,6.969630038652678,7.364715626725566,106.0,32.0,428.5,215.0,-330.0,-4.6,3.0,6048.0,13337.5,341.13513513513516,2017.0,Pac-12,2018,
316,6,203,JAX,Tanner Lee,QB,23.0,Nebraska,2018,218.0,4.98,32.0,7.0,4.41,76.0,tanner lee+2018,tanner lee+Nebraska,12.0,246.0,428.0,57.5,3143.0,7.343457943925234,6.7,23.0,16.0,129.4,30.0,-97.0,-3.2,2.0,2017.0,2867.6,261.9166666666667,2017.0,Big Ten,2018,
317,7,219,NWE,Danny Etling,QB,24.0,LSU,2018,222.0,4.76,30.5,7.09,4.37,74.0,danny etling+2018,danny etling+LSU,24.0,325.0,544.0,119.5,4586.0,8.430147058823529,8.860477941176471,27.0,7.0,288.6,113.0,174.0,2.9000000000000004,3.0,4033.0,4820.1,191.08333333333334,2017.0,SEC,2018,
318,7,220,SEA,Alex McGough,QB,22.0,Florida International,2018,,,,,,,alex mcgough+2018,alex mcgough+Florida International,46.0,807.0,1335.0,238.50000000000003,9091.0,6.809737827715356,6.521947565543071,65.0,37.0,506.9,308.0,535.0,7.6,16.0,8062.0,8706.8,197.6304347826087,2017.0,CUSA,2018,
319,7,249,CIN,Logan Woodside,QB,23.0,Toledo,2018,213.0,4.79,31.5,6.94,4.15,73.0,logan woodside+2018,logan woodside+Toledo,39.0,738.0,1125.0,195.8,10274.0,9.132444444444445,9.767022222222224,92.0,25.0,488.0,140.0,72.0,1.0999999999999999,4.0,6047.0,10987.900000000001,263.43589743589746,2017.0,MAC,2018,
320,1,1,ARI,Kyler Murray,QB,22.0,Oklahoma,2019,207.0,,,,,70.0,kyler murray+2019,kyler murray+Oklahoma,14.0,260.0,377.0,69.0,4361.0,11.567639257294429,13.0,42.0,7.0,199.2,140.0,1001.0,7.2,12.0,2018.0,4901.0,311.5,2018.0,Big 12,2019,1.0
321,1,6,NYG,Daniel Jones,QB,22.0,Duke,2019,221.0,4.81,33.5,7.0,4.41,77.0,daniel jones+2019,daniel jones+Duke,36.0,764.0,1275.0,180.0,8201.0,6.4321568627450985,6.233960784313726,52.0,29.0,370.0,406.0,1323.0,9.700000000000001,17.0,6051.0,7948.3,227.80555555555554,2018.0,ACC,2019,2.0
322,1,15,WAS,Dwayne Haskins,QB,22.0,Ohio St.,2019,231.0,5.04,28.5,,,75.0,dwayne haskins+2019,dwayne haskins+Ohio State,14.0,373.0,533.0,70.0,4831.0,9.063789868667918,10.3,50.0,8.0,174.1,79.0,108.0,1.4,4.0,2018.0,5489.900000000001,345.07142857142856,2018.0,Big Ten,2019,3.0
323,2,42,DEN,Drew Lock,QB,22.0,Missouri,2019,228.0,4.69,31.0,7.03,4.12,76.0,drew lock+2019,drew lock+Missouri,50.0,883.0,1553.0,224.29999999999998,12193.0,7.851255634256278,8.028911783644558,99.0,39.0,537.2,202.0,437.0,8.700000000000001,9.0,8066.0,12468.9,243.86,2018.0,SEC,2019,2.0
324,3,100,CAR,Will Grier,QB,24.0,West Virginia,2019,217.0,4.84,34.0,7.09,4.28,74.0,will grier+2019,will grier+West Virginia,22.0,516.0,785.0,131.4,7354.0,9.368152866242038,10.057452229299363,71.0,20.0,338.2,111.0,32.0,0.0,5.0,4035.0,7895.1,334.27272727272725,2018.0,Big 12,2019,
325,4,104,CIN,Ryan Finley,QB,24.0,North Carolina St.,2019,213.0,4.73,30.5,7.2,4.2,76.0,ryan finley+2019,ryan finley+North Carolina State,39.0,880.0,1364.0,192.9,10501.0,7.698680351906158,7.742375366568914,60.0,25.0,419.2,185.0,309.0,4.6,5.0,6051.0,10560.599999999999,269.2564102564103,2018.0,ACC,2019,
326,4,133,NWE,Jarrett Stidham,QB,23.0,Auburn,2019,218.0,4.81,31.0,7.28,4.33,74.0,jarrett stidham+2019,jarrett stidham+Auburn,27.0,470.0,739.0,127.2,5952.0,8.054127198917456,8.350608930987821,36.0,11.0,288.7,175.0,154.0,1.5,7.0,4035.0,6171.1,220.44444444444446,2018.0,SEC,2019,
327,5,166,LAC,Easton Stick,QB,23.0,North Dakota St.,2019,224.0,4.62,33.5,6.65,4.05,73.0,easton stick+2019,,,,,,,,,,,,,,,,,,,,,,
328,5,167,PHI,Clayton Thorson,QB,24.0,Northwestern,2019,222.0,,,,,76.0,clayton thorson+2019,clayton thorson+Northwestern,53.0,991.0,1696.0,230.89999999999998,10731.0,6.3272405660377355,5.8439268867924525,61.0,45.0,464.29999999999995,362.0,408.0,3.9000000000000004,27.0,8066.0,9911.3,202.47169811320754,2018.0,Big Ten,2019,
329,6,178,JAX,Gardner Minshew II,QB,23.0,Washington St.,2019,225.0,4.97,33.5,7.14,4.45,73.0,gardner minshew ii+2019,,,,,,,,,,,,,,,,,,,,,,
330,6,197,BAL,Trace McSorley,QB,24.0,Penn St.,2019,202.0,4.57,33.0,7.09,4.12,72.0,trace mcsorley+2019,trace mcsorley+Penn State,40.0,700.0,1175.0,177.6,9714.0,8.267234042553191,8.56731914893617,75.0,25.0,435.19999999999993,460.0,1654.0,10.6,30.0,6051.0,10066.599999999999,242.85,2018.0,Big Ten,2019,
331,1,1,CIN,Joe Burrow,QB,23.0,LSU,2020,221.0,,,,,75.0,joe burrow+2020,joe burrow+LSU,28.0,621.0,906.0,134.1,8565.0,9.45364238410596,10.575717439293598,76.0,11.0,335.2,243.0,767.0,6.300000000000001,12.0,4037.0,9581.6,305.89285714285717,2019.0,SEC,2020,1.0
332,1,5,MIA,Tua Tagovailoa,QB,22.0,Alabama,2020,217.0,,,,,72.0,tua tagovailoa+2020,,,,,,,,,,,,,,,,,,,,,,2.0
333,1,6,LAC,Justin Herbert,QB,22.0,Oregon,2020,236.0,4.68,35.5,7.06,4.46,78.0,justin herbert+2020,justin herbert+Oregon,27.0,526.0,832.0,126.19999999999999,6622.0,7.959134615384615,8.660096153846155,61.0,14.0,301.4,129.0,216.0,3.1999999999999997,6.0,4037.0,7205.200000000001,245.25925925925927,2019.0,Pac-12,2020,1.0
334,1,26,GNB,Jordan Love,QB,21.0,Utah St.,2020,224.0,4.74,35.5,7.21,4.52,76.0,jordan love+2020,jordan love+Utah State,38.0,689.0,1125.0,180.8,8600.0,7.644444444444445,7.5328888888888885,60.0,29.0,406.7,170.0,403.0,7.300000000000001,9.0,6054.0,8474.5,226.31578947368422,2019.0,MWC,2020,
335,2,53,PHI,Jalen Hurts,QB,22.0,Oklahoma,2020,222.0,4.59,35.0,,,73.0,jalen hurts+2020,jalen hurts+Oklahoma,14.0,237.0,340.0,69.7,3851.0,11.326470588235294,12.2,32.0,8.0,191.2,233.0,1298.0,5.6,20.0,2019.0,4148.0,275.07142857142856,2019.0,Big 12,2020,2.0
336,4,122,IND,Jacob Eason,QB,22.0,Washington,2020,231.0,4.89,27.5,7.5,4.75,78.0,jacob eason+2020,jacob eason+Washington,13.0,260.0,405.0,64.2,3132.0,7.733333333333333,8.0,23.0,8.0,143.9,46.0,-69.0,-1.5,1.0,2019.0,3240.0,240.92307692307693,2019.0,Pac-12,2020,
337,4,125,NYJ,James Morgan,QB,23.0,Florida International,2020,229.0,4.89,29.0,7.51,4.64,76.0,james morgan+2020,james morgan+Florida International,24.0,420.0,683.0,123.3,5312.0,7.777452415812592,8.163689604685212,40.0,12.0,286.5,59.0,-59.0,-2.0,3.0,4037.0,5575.8,221.33333333333334,2019.0,CUSA,2020,
338,5,167,BUF,Jake Fromm,QB,22.0,Georgia,2020,219.0,5.01,30.0,7.27,4.51,74.0,jake fromm+2020,jake fromm+Georgia,43.0,621.0,982.0,190.3,8224.0,8.374745417515275,9.167718940936865,78.0,18.0,472.5,134.0,40.0,0.3999999999999999,3.0,6054.0,9002.7,191.25581395348837,2019.0,SEC,2020,
339,6,189,JAX,Jake Luton,QB,24.0,Oregon St.,2020,224.0,,,,,78.0,jake luton+2020,jake luton+Oregon State,11.0,222.0,358.0,62.0,2714.0,7.581005586592179,8.8,28.0,3.0,149.8,44.0,-87.0,-2.0,1.0,2019.0,3150.4,246.72727272727272,2019.0,Pac-12,2020,
340,7,224,TEN,Cole McDonald,QB,22.0,Hawaii,2020,215.0,4.58,36.0,7.13,4.52,75.0,cole mcdonald+2020,cole mcdonald+Hawaii,27.0,611.0,995.0,122.69999999999999,8010.0,8.050251256281408,8.394572864321606,69.0,24.0,294.1,235.0,742.0,6.5,11.0,4037.0,8352.599999999999,296.6666666666667,2019.0,MWC,2020,
341,7,231,DAL,Ben DiNucci,QB,23.0,James Madison,2020,,,,,,,ben dinucci+2020,,,,,,,,,,,,,,,,,,,,,,
342,7,240,NOR,Tommy Stevens,QB,23.0,Mississippi St.,2020,,,,,,,tommy stevens+2020,,,,,,,,,,,,,,,,,,,,,,
343,7,244,MIN,Nate Stanley,QB,23.0,Iowa,2020,235.0,4.81,28.5,7.26,4.48,76.0,nate stanley+2020,,,,,,,,,,,,,,,,,,,,,,
344,1,1,JAX,Trevor Lawrence,QB,21.0,Clemson,2021,213.0,,,,,77.0,trevor lawrence+2021,trevor lawrence+Clemson,40.0,758.0,1138.0,200.2,10098.0,8.873462214411248,9.778734622144112,90.0,17.0,493.5,231.0,943.0,11.5,18.0,6057.0,11128.2,252.45,2020.0,ACC,2021,3.0
345,1,2,NYJ,Zach Wilson,QB,22.0,BYU,2021,214.0,,,,,74.0,zach wilson+2021,zach wilson+Brigham Young,12.0,247.0,336.0,73.5,3692.0,10.988095238095237,12.599999999999998,33.0,3.0,196.4,70.0,254.0,3.6,10.0,2020.0,4233.599999999999,307.6666666666667,2020.0,Ind,2021,3.0
346,1,3,SFO,Trey Lance,QB,21.0,North Dakota St.,2021,224.0,,,,,75.0,trey lance+2021,,,,,,,,,,,,,,,,,,,,,,3.0
347,1,11,CHI,Justin Fields,QB,22.0,Ohio St.,2021,227.0,4.45,,,,74.0,justin fields+2021,justin fields+Ohio State,22.0,396.0,579.0,137.4,5373.0,9.279792746113989,10.772538860103626,63.0,9.0,357.0,218.0,867.0,8.2,15.0,4039.0,6237.299999999999,244.22727272727272,2020.0,Big Ten,2021,3.0
348,1,15,NWE,Mac Jones,QB,23.0,Alabama,2021,217.0,4.72,32.0,7.04,4.39,74.0,mac jones+2021,mac jones+Alabama,13.0,311.0,402.0,77.4,4500.0,11.194029850746269,12.8,41.0,4.0,203.1,35.0,14.0,0.4,1.0,2020.0,5145.6,346.15384615384613,2020.0,SEC,2021,2.0
349,2,64,TAM,Kyle Trask,QB,23.0,Florida,2021,236.0,5.1,31.5,7.08,4.6,77.0,kyle trask+2021,kyle trask+Florida,24.0,538.0,791.0,135.8,7224.0,9.132743362831858,9.960176991150442,68.0,15.0,336.1,127.0,58.0,0.9,7.0,4039.0,7878.5,301.0,2020.0,SEC,2021,
350,3,66,MIN,Kellen Mond,QB,22.0,Texas A&M,2021,,,,,,,kellen mond+2021,kellen mond+Texas A&M,46.0,801.0,1358.0,233.7,9661.0,7.1141384388807065,7.277098674521355,71.0,27.0,521.8,438.0,1609.0,15.0,22.0,8074.0,9882.3,210.02173913043478,2020.0,SEC,2021,
351,3,67,HOU,Davis Mills,QB,22.0,Stanford,2021,217.0,4.82,32.0,6.95,4.4,75.0,davis mills+2021,davis mills+Stanford,5.0,129.0,195.0,66.2,1508.0,7.733333333333333,7.8,7.0,3.0,139.9,30.0,37.0,1.2,3.0,2020.0,1521.0,301.6,2020.0,Pac-12,2021,3.0
352,4,133,NOR,Ian Book,QB,23.0,Notre Dame,2021,211.0,4.65,32.5,6.99,4.19,72.0,ian book+2021,ian book+Notre Dame,35.0,682.0,1066.0,193.0,8492.0,7.966228893058162,8.566885553470918,68.0,16.0,447.4,323.0,1311.0,12.000000000000002,17.0,6057.0,9132.3,242.62857142857143,2020.0,ACC,2021,
353,6,218,IND,Sam Ehlinger,QB,22.0,Texas,2021,220.0,4.84,36.5,7.15,4.44,73.0,sam ehlinger+2021,sam ehlinger+Texas,37.0,765.0,1201.0,190.10000000000002,9521.0,7.927560366361366,8.571856786011656,83.0,20.0,449.3,440.0,1522.0,10.299999999999999,31.0,6057.0,10294.8,257.3243243243243,2020.0,Big 12,2021,
