,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,PK1,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD,Year_y,AdjustedYds,YPG,Last_Year,Conf,year_drafted,response
0,1,1,NWE,Drew Bledsoe,QB,21,Washington St.,1993,233,,32.5,,4.54,77,drew bledsoe+1993,,,,,,,,,,,,,,,,,,,,,,2
1,1,2,SEA,Rick Mirer,QB,23,Notre Dame,1993,216,,,,,74,rick mirer+1993,,,,,,,,,,,,,,,,,,,,,,3
2,3,58,RAI,Billy Joe Hobert,QB,22,Washington,1993,234,4.89,30.5,,4.29,74.6,billy joe hobert+1993,,,,,,,,,,,,,,,,,,,,,,
3,5,118,GNB,Mark Brunell,QB,22,Washington,1993,206,4.7,30.5,,4.19,73,mark brunell+1993,,,,,,,,,,,,,,,,,,,,,,
4,7,192,MIN,Gino Torretta,QB,23,Miami (FL),1993,219,,31,,,74,gino torretta+1993,,,,,,,,,,,,,,,,,,,,,,
5,8,216,PIT,Alex Van Pelt,QB,23,Pittsburgh,1993,212,4.97,30.5,,,72,alex van pelt+1993,,,,,,,,,,,,,,,,,,,,,,
6,8,219,SFO,Elvis Grbac,QB,23,Michigan,1993,232,4.81,31.5,,4.5,77.1,elvis grbac+1993,,,,,,,,,,,,,,,,,,,,,,
7,8,222,SDG,Trent Green,QB,23,Indiana,1993,211,4.92,32.5,,4.2,74.5,trent green+1993,,,,,,,,,,,,,,,,,,,,,,
8,1,3,WAS,Heath Shuler,QB,22,Tennessee,1994,221,,,,,74,heath shuler+1994,heath shuler+Tennessee,11,184,285,64.6,2354,8.259649123,8.8,25,8,157.3,46,73,1.6,3,1993,2508,214,1993,SEC,1994,3
9,1,6,TAM,Trent Dilfer,QB,22,Fresno St.,1994,228,,,,,75.3,trent dilfer+1994,trent dilfer+Fresno State,12,254,396,64.1,3799,9.593434343,10.5,30,5,167.2,40,-113,-2.8,1,1993,4158,316.5833333,1993,WAC,1994,3
10,4,111,ATL,Perry Klein,QB,23,C.W. Post,1994,214,4.84,32.5,,4.2,74.4,perry klein+1994,,,,,,,,,,,,,,,,,,,,,,
11,4,116,NOR,Doug Nussmeier,QB,23,Idaho,1994,211,4.88,33,,4.13,74.9,doug nussmeier+1994,,,,,,,,,,,,,,,,,,,,,,
12,6,178,PIT,Jim Miller,QB,23,Michigan St.,1994,227,5.13,24.5,,4.39,74.3,jim miller+1994,jim miller+Michigan State,12,215,336,64,2269,6.75297619,5.8,9,11,123,41,-160,-3.9,0,1993,1948.8,189.0833333,1993,Big Ten,1994,3
13,7,197,WAS,Gus Frerotte,QB,23,Tulsa,1994,221,5.04,26,,4.79,75,gus frerotte+1994,gus frerotte+Tulsa,11,214,383,55.9,2871,7.496083551,6.8,21,15,129.1,73,10,0.1,1,1993,2604.4,261,1993,Ind,1994,3
14,7,198,NWE,Jay Walker,QB,22,Howard,1994,,,,,,,jay walker+1994,,,,,,,,,,,,,,,,,,,,,,
15,7,199,KAN,Steve Matthews,QB,23,Memphis,1994,208,,,,,74.9,steve matthews+1994,steve matthews+Memphis,9,166,273,60.8,1896,6.945054945,5.8,13,13,125.3,38,-176,-4.6,1,1993,1583.4,210.6666667,1993,Ind,1994,4
16,7,208,NYJ,Glenn Foley,QB,23,Boston Col.,1994,212,,,,,72.8,glenn foley+1994,glenn foley+Boston College,11,222,363,61.2,3397,9.358126722,9.5,25,10,157,26,-44,-1.7,0,1993,3448.5,308.8181818,1993,Big East,1994,3
17,1,3,HOU,Steve McNair,QB,22,Alcorn St.,1995,224,,,,,73.6,steve mcnair+1995,,,,,,,,,,,,,,,,,,,,,,3
18,1,5,CAR,Kerry Collins,QB,22,Penn St.,1995,240,,,,,77,kerry collins+1995,kerry collins+Penn State,22,303,514,117.5,4284,8.33463035,8.068093385,34,18,286,38,-11,-1.3,0,3987,4147,194.7272727,1994,Big Ten,1995,3
19,2,45,BUF,Todd Collins,QB,23,Michigan,1995,224,5.07,30,,4.34,76.6,todd collins+1995,todd collins+Michigan,24,375,584,128.5,5027,8.607876712,8.353424658,30,17,295.3,87,-124,-3.2,0,3987,4878.4,209.4583333,1994,Big Ten,1995,3
20,2,60,PIT,Kordell Stewart,QB,22,Colorado,1995,212,4.52,36,,4.13,73.5,kordell stewart+1995,kordell stewart+Colorado,22,304,531,115.4,4370,8.229755179,8.169491525,21,10,273.5,224,1163,10.3,13,3987,4338,198.6363636,1994,Big 8,1995,3
21,3,80,ARI,Stoney Case,QB,23,New Mexico,1995,206,4.83,30.5,,4.25,74.5,stoney case+1995,stoney case+New Mexico,23,410,713,115.2,5607,7.863955119,7.698457223,39,20,273.1,266,861,6.4,25,3987,5489,243.7826087,1994,WAC,1995,3
22,3,84,CLE,Eric Zeier,QB,23,Georgia,1995,208,,,,,72.5,eric zeier+1995,eric zeier+Georgia,22,528,858,123.1,6921,8.066433566,8.094405594,48,21,285.8,80,18,2.2,2,3987,6945,314.5909091,1994,SEC,1995,3
23,4,99,JAX,Rob Johnson,QB,22,USC,1995,223,,,,,75.3,rob johnson+1995,rob johnson+USC,24,494,725,136,6129,8.453793103,8.952275862,44,12,312.1,148,-440,-6,2,3987,6490.4,255.375,1994,Pac-10,1995,3
24,4,111,MIN,Chad May,QB,,Kansas St.,1995,226,,,,,73.4,chad may+1995,chad may+Kansas State,22,385,688,112,5253,7.635174419,7.593895349,34,16,263.7,128,-362,-5.7,10,3987,5224.6,238.7727273,1994,Big 8,1995,4
25,4,119,PHI,Dave Barr,QB,23,California,1995,210,,,,,74.9,dave barr+1995,,,,,,,,,,,,,,,,,,,,,,
26,4,134,KAN,Steve Stenstrom,QB,23,Stanford,1995,199,5.08,28,,4.03,73.9,steve stenstrom+1995,steve stenstrom+Stanford,22,517,788,131.1,6449,8.184010152,8.138071066,43,20,294.9,113,-337,-5.9,3,3987,6412.8,293.1363636,1994,Pac-10,1995,3
27,5,160,GNB,Jay Barker,QB,,Alabama,1995,212,4.94,27,,4.31,74.4,jay barker+1995,jay barker+Alabama,12,139,226,61.5,1996,8.831858407,9.1,14,5,151.7,87,-143,-1.6,1,1994,2056.6,166.3333333,1994,SEC,1995,4
28,6,191,CAR,Jerry Colquitt,QB,,Tennessee,1995,,,,,,,jerry colquitt+1995,,,,,,,,,,,,,,,,,,,,,,
29,6,197,SDG,Craig Whelihan,QB,24,Pacific,1995,,,,,,,craig whelihan+1995,craig whelihan+Pacific,18,294,574,102.9,3713,6.468641115,5.854355401,26,19,226.4,75,-74,-1.7,3,3987,3360.4,206.2777778,1994,Big West,1995,3
30,7,213,CIN,John Walsh,QB,,BYU,1995,214,,,,,75,john walsh+1995,john walsh+Brigham Young,23,528,860,122.8,7439,8.65,8.453953488,57,29,299.3,160,-546,-6.8,3,3987,7270.4,323.4347826,1994,WAC,1995,4
31,2,42,STL,Tony Banks,QB,23,Michigan St.,1996,220,4.93,,,4.55,76.5,tony banks+1996,tony banks+Michigan State,20,301,496,121.4,4129,8.324596774,7.255645161,20,21,271.5,139,-24,-0.9,3,3989,3598.8,206.45,1995,Big Ten,1996,3
32,3,85,PHI,Bobby Hoying,QB,23,Ohio St.,1996,221,4.73,31,,4.16,75.3,bobby hoying+1996,bobby hoying+Ohio State,38,490,844,172.4,7174,8.5,8.007345972,56,34,421,163,-71,-2.6,4,5982,6758.2,188.7894737,1995,Big Ten,1996,3
33,4,100,DEN,Jeff Lewis,QB,23,Northern Arizona,1996,215,,,,,73.8,jeff lewis+1996,,,,,,,,,,,,,,,,,,,,,,
34,4,130,NYG,Danny Kanell,QB,22,Florida St.,1996,222,,,,,75.4,danny kanell+1996,danny kanell+Florida State,22,484,782,123.6,5738,7.337595908,7.111253197,49,26,274.6,46,-168,-6.9,1,3989,5561,260.8181818,1995,ACC,1996,3
35,6,203,PIT,Spence Fischer,QB,,Duke,1996,,,,,,,spence fischer+1996,spence fischer+Duke,33,673,1172,172.3,7516,6.412969283,5.716211604,40,36,350.8,174,147,2.4,6,5982,6699.4,227.7575758,1995,ACC,1996,4
36,6,205,IND,Mike Cawley,QB,,James Madison,1996,,,,,,,mike cawley+1996,,,,,,,,,,,,,,,,,,,,,,
37,7,238,BAL,Jon Stark,QB,,,1996,222,,,,,75.8,jon stark+1996,,,,,,,,,,,,,,,,,,,,,,
38,7,240,GNB,Kyle Wachholtz,QB,,USC,1996,233,5.14,25,,4.65,76.3,kyle wachholtz+1996,,,,,,,,,,,,,,,,,,,,,,
39,1,26,SFO,Jim Druckenmiller,QB,24,Virginia Tech,1997,234,,29,7.92,4.28,76.6,jim druckenmiller+1997,jim druckenmiller+Virginia Tech,22,293,544,108.2,4174,7.672794118,7.456985294,31,16,264.5,135,262,3.7,0,3991,4056.6,189.7272727,1996,Big East,1997,4
40,2,42,ARI,Jake Plummer,QB,22,Arizona St.,1997,195,4.96,30,7.3,4.29,74.3,jake plummer+1997,jake plummer+Arizona State,42,613,1107,220.1,8626,7.792231256,7.58464318,64,34,532.8,289,-113,-2.1,5,7978,8396.2,205.3809524,1996,Pac-10,1997,3
41,4,99,NOR,Danny Wuerffel,QB,23,Florida,1997,212,4.9,28,7.69,4.42,73.8,danny wuerffel+1997,danny wuerffel+Florida,46,708,1170,242.6,10875,9.294871795,9.619230769,114,42,646.4,185,-375,-8.2,8,7978,11254.5,236.4130435,1996,SEC,1997,3
42,4,110,KAN,Pat Barnes,QB,22,California,1997,212,,,,,75.1,pat barnes+1997,pat barnes+California,23,447,782,113.9,6184,7.907928389,8.074168798,48,19,276.2,142,-243,-3.9,2,3991,6314,268.8695652,1996,Pac-10,1997,3
43,6,171,NYG,Mike Cherry,QB,23,Murray St.,1997,222,5.11,28.5,7.8,4.38,75.9,mike cherry+1997,,,,,,,,,,,,,,,,,,,,,,
44,6,191,NYJ,Chuck Clements,QB,23,Houston,1997,211,4.98,31.5,7.69,4.36,74.6,chuck clements+1997,chuck clements+Houston,31,592,1030,171,6274,6.091262136,5.387669903,40,34,337.5,76,-175,-7.4,0,5984,5549.3,202.3870968,1996,CUSA,1997,4
45,7,204,ATL,Tony Graziani,QB,23,Oregon,1997,,,,,,,tony graziani+1997,,,,,,,,,,,,,,,,,,,,,,
46,7,207,PHI,Koy Detmer,QB,24,Colorado,1997,180,5.14,28.5,7.79,4.37,72.9,koy detmer+1997,koy detmer+Colorado,11,208,363,57.3,3156,8.694214876,8.4,22,12,143.7,36,-6,-0.2,3,1996,3049.2,286.9090909,1996,Big 12,1997,4
47,7,234,BAL,Wally Richardson,QB,23,Penn St.,1997,221,4.95,31,7.97,4.47,76.4,wally richardson+1997,wally richardson+Penn State,23,338,614,109.6,3930,6.400651466,6.163843648,25,14,233.6,69,-219,-6.4,0,3991,3784.6,170.8695652,1996,Big Ten,1997,3
48,7,237,SDG,Tony Corbin,QB,,Sacramento St.,1997,,,,,,,tony corbin+1997,,,,,,,,,,,,,,,,,,,,,,
49,7,240,GNB,Ron McAda,QB,,Army,1997,,,,,,,ron mcada+1997,,,,,,,,,,,,,,,,,,,,,,
50,1,1,IND,Peyton Manning,QB,22,Tennessee,1998,,,,,,,peyton manning hof+1998,,45,863,1381,62.5,11201,8.1,8.3,89,33,147.1,153,-181,-1.2,12,,,248.9111111,,SEC,,
51,1,2,SDG,Ryan Leaf,QB,22,Washington St.,1998,261,,,,,77.4,ryan leaf+1998,ryan leaf+Washington State,23,421,783,107.4,6779,8.657726692,8.718518519,55,23,286.2,151,-184,-2.6,12,3993,6826.6,294.7391304,1997,Pac-10,1998,3
52,2,60,DET,Charlie Batch,QB,23,East. Michigan,1998,216,4.89,33.5,7.6,4.11,73.9,charlie batch+1998,charlie batch+Eastern Michigan,22,491,855,114.9,6457,7.552046784,7.106081871,44,28,262.5,146,162,2.2,4,3992,6075.7,293.5,1997,MAC,1998,3
53,3,86,JAX,Jonathan Quinn,QB,23,Middle Tenn. St.,1998,,,,,,,jonathan quinn+1998,,,,,,,,,,,,,,,,,,,,,,3
54,3,91,DEN,Brian Griese,QB,23,Michigan,1998,,,,,,,brian griese+1998,brian griese+Michigan,22,293,492,118.1,3437,6.985772358,6.72601626,25,14,256.1,79,-70,-2.7,4,3992,3309.2,156.2272727,1997,Big Ten,1998,2
55,6,172,MIA,John Dutton,QB,,Nevada,1998,219,4.68,29,7.55,4.22,75.9,john dutton+1998,john dutton+Nevada,22,447,701,127.8,6276,8.952924394,9.380599144,42,12,310.5,71,-60,-2.2,2,3993,6575.8,285.2727273,1997,Big West,1998,4
56,6,187,GNB,Matt Hasselbeck,QB,22,Boston Col.,1998,,,,,,,matt hasselbeck+1998,matt hasselbeck+Boston College,21,359,635,113.4,4229,6.65984252,5.924409449,20,19,234.6,158,-190,-2.2,3,3993,3762,201.3809524,1997,Big East,1998,2
57,7,232,CHI,Moses Moreno,QB,23,Colorado St.,1998,,,,,,,moses moreno+1998,moses moreno+Colorado State,34,449,767,175.3,6617,8.627118644,8.332594524,49,27,434.4,161,-254,-6,4,5988,6391.1,194.6176471,1997,WAC,1998,4
58,1,1,CLE,Tim Couch,QB,22,Kentucky,1999,225,5.08,31,,4.34,76.1,tim couch+1999,tim couch+Kentucky,22,763,1100,138.7,8159,7.417272727,7.352454545,73,34,294.7,130,-249,-3.8,4,3995,8087.7,370.8636364,1998,SEC,1999,3
59,1,2,PHI,Donovan McNabb,QB,22,Syracuse,1999,223,4.64,33,7.3,4.38,74.3,donovan mcnabb+1999,donovan mcnabb+Syracuse,45,548,938,233.9,8389,8.943496802,9.353624733,77,26,620.3,465,1561,13.7,19,7986,8773.7,186.4222222,1998,Big East,1999,1
60,1,3,CIN,Akili Smith,QB,24,Oregon,1999,227,4.7,34,6.99,4.29,74.8,akili smith+1999,akili smith+Oregon,23,323,571,112,5148,9.015761821,9.428896673,45,15,293.9,171,367,4.3,6,3995,5383.9,223.826087,1998,Pac-10,1999,3
61,1,11,MIN,Daunte Culpepper,QB,22,Central Florida,1999,255,4.52,39,7.21,4.13,75.8,daunte culpepper+1999,daunte culpepper+UCF,33,721,1097,195.7,9341,8.515041021,8.500091158,72,32,455.7,371,1003,7.6,19,5991,9324.6,283.0606061,1998,Ind,1999,1
62,1,12,CHI,Cade McNown,QB,22,UCLA,1999,213,4.76,33.5,7.27,4.28,72.9,cade mcnown+1999,cade mcnown+UCLA,47,694,1250,220.8,10708,8.5664,8.17608,68,41,548.7,313,577,7.8,16,7986,10220.1,227.8297872,1998,Pac-10,1999,3
63,2,50,TAM,Shaun King,QB,22,Tulane,1999,221,4.77,33,,4.29,72,shaun king+1999,shaun king+Tulane,34,577,1002,170.4,7649,7.633732535,7.825449102,70,27,408.3,323,1168,8.6,17,5991,7841.1,224.9705882,1998,CUSA,1999,2
64,3,77,SEA,Brock Huard,QB,23,Washington,1999,227,5.12,30.5,7.44,4.44,77,brock huard+1999,brock huard+Washington,30,422,776,162.9,5742,7.399484536,7.12757732,51,27,399,114,-39,-1.6,3,5991,5531,191.4,1998,Pac-10,1999,3
65,4,101,STL,Joe Germaine,QB,24,Ohio St.,1999,211,4.8,32,7.18,4.21,73.3,joe germaine+1999,joe germaine+Ohio State,25,359,594,121.3,5177,8.715488215,8.917171717,41,16,302.5,94,-215,-5.4,0,3995,5296.8,207.08,1998,Big Ten,1999,4
66,4,131,GNB,Aaron Brooks,QB,23,Virginia,1999,203,4.59,35.5,7.52,4.29,75.5,aaron brooks+1999,aaron brooks+Virginia,22,320,560,114.5,4601,8.216071429,8.075,32,16,279.4,169,482,5.7,10,3995,4522,209.1363636,1998,ACC,1999,2
67,5,151,TEN,Kevin Daft,QB,,UC Davis,1999,203,4.91,32.5,7.39,4.37,73.8,kevin daft+1999,,,,,,,,,,,,,,,,,,,,,,
68,7,227,NWE,Michael Bishop,QB,23,Kansas St.,1999,205,4.85,33,7.63,4.62,73,michael bishop+1999,michael bishop+Kansas State,23,244,480,98.8,4401,9.16875,9.436458333,36,13,287.4,324,1314,8.1,23,3995,4529.5,191.3478261,1998,Big 12,1999,4
69,7,239,ARI,Chris Greisen,QB,23,NW Missouri St.,1999,223,5.06,30.5,7.29,4.33,74.5,chris greisen+1999,,,,,,,,,,,,,,,,,,,,,,
70,7,245,CIN,Scott Covington,QB,23,Miami (FL),1999,219,4.67,34,7.62,4.42,74.1,scott covington+1999,scott covington+Miami (FL),11,159,270,58.9,2301,8.522222222,8.6,19,8,147.8,45,-192,-4.3,0,1998,2322,209.1818182,1998,Big East,1999,4
71,1,18,NYJ,Chad Pennington,QB,24,Marshall,2000,229,4.81,33.5,7.12,4.16,75,chad pennington+2000,chad pennington+Marshall,38,848,1334,191.4,11446,8.580209895,9.163043478,107,30,474.7,168,61,1,4,5994,12223.5,301.2105263,1999,MAC,2000,2
72,3,65,SFO,Giovanni Carmazzi,QB,,Hofstra,2000,224,4.74,36.5,6.94,4.23,75,giovanni carmazzi+2000,,,,,,,,,,,,,,,,,,,,,,
73,3,75,BAL,Chris Redman,QB,23,Louisville,2000,222,5.37,26.5,7.8,4.78,75,chris redman+2000,chris redman+Louisville,43,1031,1679,241.7,12541,7.46932698,7.070399047,84,51,527.3,167,-412,-10,3,7990,11871.2,291.6511628,1999,CUSA,2000,3
74,5,163,PIT,Tee Martin,QB,22,Tennessee,2000,227,4.58,34.5,,,74,tee martin+2000,tee martin+Tennessee,23,318,572,111.4,4481,7.833916084,7.753496503,31,15,269.4,184,604,6.7,16,3997,4435,194.826087,1999,SEC,2000,4
75,6,168,NOR,Marc Bulger,QB,23,West Virginia,2000,208,4.97,,7.46,4.34,74,marc bulger+2000,,,,,,,,,,,,,,,,,,,,,,
76,6,183,CLE,Spergon Wynn,QB,22,Texas St.,2000,229,4.91,34,7.71,4.59,75,spergon wynn+2000,,,,,,,,,,,,,,,,,,,,,,4
77,6,199,NWE,Tom Brady,QB,23,Michigan,2000,211,5.28,24.5,7.2,4.38,76,tom brady+2000,tom brady+Michigan,23,380,618,122.9,4644,7.514563107,7.334142395,30,16,271.1,88,-136,-2.8,3,3997,4532.5,201.9130435,1999,Big Ten,2000,1
78,6,202,WAS,Todd Husak,QB,22,Stanford,2000,216,5.2,27.5,7.17,4.41,75,todd husak+2000,todd husak+Stanford,21,409,755,109.2,5780,7.655629139,7.530331126,35,18,262.2,78,-63,-1.3,3,3997,5685.4,275.2380952,1999,Pac-10,2000,4
79,6,205,SDG,JaJuan Seider,QB,,Florida A&M,2000,,,,,,,jajuan seider+2000,,,,,,,,,,,,,,,,,,,,,,
80,7,212,SFO,Tim Rattay,QB,23,Louisiana Tech,2000,215,4.91,25.5,7.34,4.21,72,tim rattay+2000,tim rattay+Louisiana Tech,33,1015,1552,195.7,12746,8.212628866,8.655412371,115,35,461.8,153,-103,-2.8,2,5994,13433.2,386.2424242,1999,Ind,2000,3
81,7,214,DEN,Jarious Jackson,QB,23,Notre Dame,2000,226,4.68,,,,72,jarious jackson+2000,jarious jackson+Notre Dame,23,288,504,113.5,4493,8.91468254,8.322222222,30,20,289.8,253,905,7.2,10,3997,4194.4,195.3478261,1999,Ind,2000,4
82,7,234,TAM,Joe Hamilton,QB,23,Georgia Tech,2000,192,4.81,,,,70,joe hamilton+2000,joe hamilton+Georgia Tech,43,629,1020,244.6,8882,8.707843137,8.279215686,65,39,579.2,501,1758,13.5,18,7990,8444.8,206.5581395,1999,ACC,2000,4
83,1,1,ATL,Michael Vick,QB,21,Virginia Tech,2001,210,4.33,,,,72,michael vick+2001,,,,,,,,,,,,,,,,,,,,,,1
84,2,32,SDG,Drew Brees,QB,22,Purdue,2001,213,4.83,32,7.09,4.21,72,drew brees+2001,drew brees+Purdue,37,1007,1635,184.6,11560,7.070336391,6.961712538,90,44,401.1,243,891,10.5,12,5997,11382.4,312.4324324,2000,Big Ten,2001,1
85,2,53,DAL,Quincy Carter,QB,23,Georgia,2001,225,4.58,35.5,7.12,4.12,74,quincy carter+2001,,,,,,,,,,,,,,,,,,,,,,3
86,2,59,OAK,Marques Tuiasosopo,QB,22,Washington,2001,223,4.71,35.5,7.36,4.35,73,marques tuiasosopo+2001,marques tuiasosopo+Washington,22,341,618,110.6,4367,7.066343042,6.334142395,26,22,243.1,264,935,7,12,3999,3914.5,198.5,2000,Pac-10,2001,4
87,4,106,CAR,Chris Weinke,QB,29,Florida St.,2001,226,5.2,,,,76,chris weinke+2001,chris weinke+Florida State,33,643,1094,173.9,9757,8.918647166,9.080438757,77,31,449.7,108,-374,-10.3,2,5997,9934,295.6666667,2000,ACC,2001,3
88,4,109,WAS,Sage Rosenfels,QB,23,Iowa St.,2001,228,4.74,34,7.07,4.29,76,sage rosenfels+2001,sage rosenfels+Iowa State,22,299,568,105.7,4079,7.181338028,6.006866197,18,23,232.7,158,606,7.7,14,3999,3411.9,185.4090909,2000,Big 12,2001,3
89,4,125,NYG,Jesse Palmer,QB,22,Florida,2001,231,4.78,35.5,7.13,4.29,74,jesse palmer+2001,jesse palmer+Florida,10,116,223,52,1653,7.412556054,7.6,11,4,127,36,-51,-1.4,6,2000,1694.8,165.3,2000,SEC,2001,3
90,5,149,DET,Mike McMahon,QB,22,Rutgers,2001,207,4.57,37.5,7.12,4.12,74,mike mcmahon+2001,mike mcmahon+Rutgers,30,416,828,150.6,5619,6.786231884,5.226086957,36,45,329.1,179,193,2.8,7,5995,4327.2,187.3,2000,Big East,2001,3
91,5,155,PHI,A.J. Feeley,QB,24,Oregon,2001,,,,,,,a.j. feeley+2001,,,,,,,,,,,,,,,,,,,,,,
92,6,172,SEA,Josh Booty,QB,,LSU,2001,221,4.9,29.5,7.54,4.48,74,josh booty+2001,josh booty+LSU,20,307,623,98.6,3951,6.341894061,4.649919743,24,34,210.7,53,-83,-3.1,0,3999,2896.9,197.55,2000,SEC,2001,4
93,6,177,MIA,Josh Heupel,QB,,Oklahoma,2001,215,4.85,37.5,7.18,4.15,74,josh heupel+2001,josh heupel+Oklahoma,24,615,972,126.6,7066,7.269547325,6.945679012,50,30,270.3,130,69,-0.1,12,3999,6751.2,294.4166667,2000,Big 12,2001,4
94,1,1,HOU,David Carr,QB,23,Fresno St.,2002,223,4.67,35,7.05,4.28,75,david carr+2002,david carr+Fresno State,25,538,849,125.9,7177,8.453474676,8.883392226,64,20,301.3,159,147,1.9,9,4001,7542,287.08,2001,WAC,2002,3
95,1,3,DET,Joey Harrington,QB,23,Oregon,2002,215,4.89,32,7,4.21,76,joey harrington+2002,joey harrington+Oregon,24,428,769,111.6,5731,7.452535761,7.562678804,49,20,269.2,121,180,2.9,14,4001,5815.7,238.7916667,2001,Pac-10,2002,3
96,1,32,WAS,Patrick Ramsey,QB,23,Tulane,2002,219,5.24,33.5,7.12,4.09,74,patrick ramsey+2002,patrick ramsey+Tulane,32,795,1350,176.4,9178,6.798518519,6.135703704,71,51,378.8,148,-123,-2.2,4,6000,8283.2,286.8125,2001,CUSA,2002,3
